img,success,failure
video10016.jpeg,1,0
video10024.jpeg,1,0
video10005.jpeg,1,0
video10015.jpeg,1,0
video10028.jpeg,1,0
video10010.jpeg,1,0
video10026.jpeg,1,0
video10025.jpeg,1,0
video10009.jpeg,1,0
video10002.jpeg,1,0
video10023.jpeg,1,0
video10003.jpeg,1,0
video10018.jpeg,1,0
video10014.jpeg,1,0
video10012.jpeg,1,0
video10036.jpeg,1,1
video10021.jpeg,1,0
video10001.jpeg,1,0
video10030.jpeg,0,1
video10017.jpeg,1,0
video10008.jpeg,1,0
video10022.jpeg,1,0
video10006.jpeg,1,0
video10027.jpeg,1,0
video10020.jpeg,1,0
video10029.jpeg,0,1
video10033.jpeg,0,1
video10032.jpeg,0,1
video10013.jpeg,1,0
video10031.jpeg,0,1
video10007.jpeg,1,0
video10004.jpeg,1,0
video10034.jpeg,0,1
video10000.jpeg,1,0
video10011.jpeg,1,0
video10035.jpeg,0,1
video10019.jpeg,1,0
